"100000000"	09
"100000002"	04
"100000003"	05
"100000005"	01
"100000007"	03
"100000008"	20
"100000008"	16
"100000011"	03
"100000014"	04
"100000016"	23
"100000017"	05
"100000018"	19
"100000018"	03
"100000018"	11
"100000018"	02
"100000018"	16
"100000019"	05
"100000022"	17
"100000023"	03
"100000025"	03
"100000028"	04
"100000030"	14
"100000031"	03
"100000032"	19
"100000032"	04
"100000036"	04
"100000039"	04
"100000044"	05
"100000045"	04
"100000046"	04
"100000046"	05
"100000048"	04
"100000049"	14
"100000050"	04
"100000051"	23
"100000052"	12
"100000053"	06
"100000054"	03
"100000054"	20
"100000054"	18
"100000055"	18
"100000055"	06
"100000055"	17
"100000055"	04
"100000056"	12
"100000056"	14
"100000056"	16
"100000057"	08
"100000058"	17
"100000058"	04
"100000059"	06
"100000059"	17
"100000060"	04
"100000061"	04
"100000062"	18
"100000063"	11
"100000064"	04
"100000064"	05
"100000065"	00
"100000065"	04
"100000065"	23
"100000066"	05
"100000067"	11
"100000067"	04
"100000068"	19
"100000068"	18
"100000069"	16
"100000070"	16
"100000071"	04
"100000072"	05
"100000073"	20
"100000074"	00
"100000075"	05
"100000076"	04
"100000076"	17
"100000077"	04
"100000077"	16
"100000078"	23
"100000079"	04
"100000080"	06
"100000081"	18
"100000081"	17
"100000081"	05
"100000082"	04
"100000082"	05
"100000083"	15
"100000083"	17
"100000084"	20
"100000084"	17
"100000085"	03
"100000085"	05
"100000085"	23
"100000086"	22
"100000086"	18
"100000087"	05
"100000088"	03
"100000088"	13
"100000088"	12
"100000088"	17
"100000088"	00
"100000088"	01
"100000089"	21
"100000090"	03
"100000091"	04
"100000092"	08
"100000093"	06
"100000094"	03
"100000097"	05
"100000098"	16
"100000101"	18
"100000109"	06
"100000111"	03
"100000114"	05
"100000120"	03
"100000120"	15
"100000120"	17
"100000120"	16
"100000122"	06
"100000123"	06
"100000126"	06
"100000129"	17
"100000129"	19
"100000129"	15
"100000131"	06
"100000133"	12
"100000133"	06
"100000134"	01
"100000136"	12
"100000137"	20
"100000137"	06
"100000138"	10
"100000138"	09
"100000140"	15
"100000140"	16
"100000141"	18
"100000142"	04
"100000143"	04
"100000144"	16
"100000145"	18
"100000146"	17
"100000147"	03
"100000147"	17
"100000147"	05
"100000149"	06
"100000150"	01
"100000151"	03
"100000152"	17
"100000153"	04
"100000154"	04
"100000155"	06
"100000156"	00
"100000156"	05
"100000157"	20
"100000159"	19
"100000159"	11
"100000159"	01
"100000159"	22
"100000160"	05
"100000162"	20
"100000163"	08
"100000165"	02
"100000165"	21
"100000166"	05
"100000167"	19
"100000170"	01
"100000171"	06
"100000173"	00
"100000173"	04
"100000173"	22
"100000174"	04
"100000174"	16
"100000175"	05
"100000176"	23
"100000176"	09
"100000177"	07
"100000177"	04
"100000178"	18
"100000179"	13
"100000180"	12
"100000180"	06
"100000186"	06
"100000186"	04
"100000187"	17
"100000187"	09
"100000189"	10
"100000189"	08
"100000190"	11
"100000190"	10
"100000190"	08
"100000190"	12
"100000191"	18
"100000191"	13
"100000192"	23
"100000193"	04
"100000194"	17
"100000195"	11
"100000195"	10
"100000197"	14
"100000198"	05
"100000203"	21
"100000204"	12
"100000204"	16
"100000206"	21
"100000207"	21
"100000209"	22
"100000213"	16
"100000216"	12
"100000218"	16
"100000220"	00
"100000221"	08
"100000222"	14
"100000225"	06
"100000226"	19
"100000228"	12
"100000231"	14
"100000232"	15
"100000232"	14
"100000236"	13
"100000236"	12
"100000238"	00
"100000238"	04
"100000239"	02
"100000239"	06
"100000239"	21
"100000239"	05
"100000240"	14
"100000240"	16
"100000241"	10
"100000241"	15
"100000242"	00
"100000242"	14
"100000244"	11
"100000244"	12
"100000244"	16
"100000245"	10
"100000246"	10
"100000247"	12
"100000248"	11
"100000249"	03
"100000250"	02
"100000251"	02
"100000252"	19
"100000253"	10
"100000254"	16
"100000255"	13
"100000257"	22
"100000258"	01
"100000259"	07
"100000262"	22
"100000264"	12
"100000265"	15
"100000266"	19
"100000266"	21
"100000267"	14
"100000268"	03
"100000269"	16
"100000271"	06
"100000272"	11
"100000273"	10
"100000273"	12
"100000274"	07
"100000278"	21
"100000280"	08
"100000280"	13
"100000280"	14
"100000283"	12
"100000284"	13
"100000284"	15
"100000285"	18
"100000286"	18
"100000288"	14
"100000291"	20
"100000291"	14
"100000294"	09
"100000295"	09
"100000296"	12
"100000296"	01
"100000299"	15
